epoch,train_constraint_penalty,train_loss,train_prediction_loss,val_complement_component_loss,val_complement_energy,val_constraint_violation_max,val_constraint_violation_mean,val_constraint_violation_relative_max,val_constraint_violation_relative_mean,val_loss,val_protected_component_loss,val_protected_energy,val_rollout_protected_relative_drift,val_rollout_violation_final
1,2.001517491806249e-12,0.1183687998652822,0.1183687998652822,6.151089295032552e-13,6.151089295032552e-13,8.978431287687272e-05,8.072210039244965e-05,1.154678443526791e-06,9.390033142153698e-07,0.001536879106424749,0.001536879106424749,0.975938618183136,16.48055648803711,0.00017816689796745777
2,1.560185033971496e-12,0.004550368146986788,0.004550368146986788,6.405722306757067e-13,6.405722306757067e-13,9.065998892765492e-05,8.175234688678756e-05,1.2341532737991656e-06,9.527278166387987e-07,0.00045037560630589724,0.00045037560630589724,0.9746049642562866,2.2680795192718506,8.971583883976564e-05
3,1.6287525140626536e-12,0.0024175280295721776,0.0024175280295721776,8.049731671164184e-13,8.049724623850063e-13,0.00010635656508384272,8.82087042555213e-05,1.3787516763841268e-06,1.0384846973465756e-06,0.0002666741784196347,0.0002666741784196347,0.9759284853935242,1.080289602279663,8.025315764825791e-05
4,1.6834467341807835e-12,0.0016065635469654559,0.0016065635469654559,1.0116773955029523e-12,1.0116767449816488e-12,0.00011116277892142534,9.561913611833006e-05,1.46718127780332e-06,1.1290710517641855e-06,0.00021359435049816966,0.0002135943650500849,0.9710203409194946,0.3217390775680542,7.64706201152876e-05
5,1.7725733209218286e-12,0.0011865011754250143,0.0011865011754250143,1.2231788932420828e-12,1.2231790016623e-12,0.00011457270011305809,0.00010264422598993406,1.4497446727546048e-06,1.1964813211307046e-06,0.00015832182543817908,0.00015832182543817908,0.975309431552887,0.46071285009384155,8.136927499435842e-05
6,1.9042303050151904e-12,0.0009136950058159811,0.0009136950058159811,1.282176404979185e-12,1.282176838660054e-12,0.0001153665070887655,0.00010431288683321327,1.4354925497173099e-06,1.212343477163813e-06,0.00010719805140979588,0.00010719805140979588,0.9745337963104248,0.27439263463020325,7.631674088770524e-05
7,2.0735675256489565e-12,0.0007371367287244397,0.0007371367287244397,1.3119977109940506e-12,1.3119980362547023e-12,0.00011624831677181646,0.00010526154801482335,1.4547332511938293e-06,1.2235936992510688e-06,8.279524627141654e-05,8.279523899545893e-05,0.9724857211112976,0.21235497295856476,7.744703907519579e-05
8,2.312938426331799e-12,0.000612334248618938,0.000612334248618938,1.309104083815904e-12,1.309104083815904e-12,0.00011675128189381212,0.00010521358490223065,1.4292819514594157e-06,1.2192604117444716e-06,8.86295601958409e-05,8.86295601958409e-05,0.9767324924468994,0.15186667442321777,7.960689981700853e-05
9,2.4705938951695174e-12,0.0005230176711303747,0.0005230176711303747,1.319912061592543e-12,1.319912495273412e-12,0.0001176250443677418,0.00010579812078503892,1.4536051367031178e-06,1.2301379683776759e-06,6.595427839783952e-05,6.595427839783952e-05,0.9714785218238831,0.14222551882266998,8.739028999116272e-05
10,2.5728127301633888e-12,0.0004497137176121957,0.0004497137176121957,1.3166151112062319e-12,1.3166153280466664e-12,0.00011696205183397979,0.0001058478737832047,1.4476750038738828e-06,1.2273120546524297e-06,5.9855938161490485e-05,5.985592360957526e-05,0.9760249257087708,0.1026996299624443,8.895558130461723e-05
11,2.6205345692247968e-12,0.00039370464938846264,0.00039370464938846264,1.318226560895197e-12,1.3182276450973696e-12,0.00011732112761819735,0.00010606672003632411,1.4306589264379e-06,1.23074801194889e-06,4.480736606637947e-05,4.480735515244305e-05,0.9750704169273376,0.12207362800836563,7.958702917676419e-05
12,2.6641901216735637e-12,0.00035238011654293547,0.00035238011654293547,1.3315063027846685e-12,1.3315071701464065e-12,0.0001182082633022219,0.0001066057084244676,1.4741463019163348e-06,1.238515892509895e-06,5.000280725653283e-05,5.000280725653283e-05,0.9729210734367371,0.10682294517755508,9.45500869420357e-05
13,2.6742954424517675e-12,0.00031049286603946946,0.00031049286603946946,1.3125018650042564e-12,1.3125021902649081e-12,0.00011735576117644086,0.00010617334191920236,1.4352008292917162e-06,1.2280174814804923e-06,5.676530417986214e-05,5.6765300541883335e-05,0.9802592992782593,0.12756814062595367,9.616850002203137e-05
14,2.6771862291261272e-12,0.00028179653156781853,0.00028179653156781853,1.3045572651651516e-12,1.3045575904258033e-12,0.0001162824482889846,0.00010592614853521809,1.4546279771820991e-06,1.2293737654545112e-06,3.1992720323614776e-05,3.199271304765716e-05,0.9738156199455261,0.10721712559461594,8.796426118351519e-05
15,2.670943037441005e-12,0.0002565736109413598,0.0002565736109413598,1.3037642796961957e-12,1.3037647133770647e-12,0.0001166600632132031,0.00010580586967989802,1.4428508166020038e-06,1.2276125289645279e-06,3.041286618099548e-05,3.041286072402727e-05,0.9739389419555664,0.08298388868570328,0.00010258876136504114
16,2.674027255049621e-12,0.00023028219285874794,0.00023028219285874794,1.3044223904148944e-12,1.3044228240957634e-12,0.00011651474778773263,0.00010583424591459334,1.417183511875919e-06,1.2267220199646545e-06,3.815571471932344e-05,3.815570380538702e-05,0.9745804667472839,0.10125424712896347,0.00010259466944262385
17,2.6594201486661386e-12,0.00021348428844658474,0.00021348428844658474,1.2896593515332455e-12,1.2896596767938973e-12,0.00011640307639027014,0.00010525673860684037,1.4278751905294484e-06,1.2228251762280706e-06,2.9421253202599473e-05,2.9421247745631263e-05,0.9700958728790283,0.10163509100675583,0.00010071819997392595
18,2.649594859967148e-12,0.0002001720487799095,0.0002001720487799095,1.2952934081225664e-12,1.2952934081225664e-12,0.00011742509377654642,0.00010552870662650093,1.426642029400682e-06,1.225807068294671e-06,3.2039966754382476e-05,3.2039955840446055e-05,0.9699557423591614,0.10427358746528625,9.62146368692629e-05
19,2.6364359053482773e-12,0.00018374259481024593,0.00018374259481024593,1.308864583556002e-12,1.3088643667155675e-12,0.00011790731514338404,0.00010594602645142004,1.4323566119855968e-06,1.229663780577539e-06,2.9800246920785867e-05,2.980024328280706e-05,0.9708005785942078,0.09073865413665771,9.859005513135344e-05
20,2.6283821714923986e-12,0.00017108735846260606,0.00017108735846260606,1.2996677302076765e-12,1.2996677302076765e-12,0.00011725986405508593,0.0001055153479683213,1.4267435517467675e-06,1.227263282999047e-06,6.778004171792418e-05,6.778002716600895e-05,0.9651651382446289,0.18503478169441223,8.779356721788645e-05
