epoch,train_constraint_penalty,train_loss,train_prediction_loss,val_complement_component_loss,val_complement_energy,val_constraint_violation_max,val_constraint_violation_mean,val_constraint_violation_relative_max,val_constraint_violation_relative_mean,val_loss,val_protected_component_loss,val_protected_energy,val_rollout_protected_relative_drift,val_rollout_violation_final
1,2.138420264069981e-12,0.12722496967421565,0.12722496967421565,5.177328292645111e-13,5.177330461049456e-13,8.373093442060053e-05,7.615349750267342e-05,1.0702988220145926e-06,8.823855637274391e-07,0.0015998954186215997,0.0015998954186215997,0.9805412292480469,39.69718933105469,0.00039926200406625867
2,1.3739795945863684e-12,0.004649917956132337,0.004649917956132337,5.675166825196143e-13,5.67516574099397e-13,8.859854278853163e-05,7.788789662299678e-05,1.3156525255908491e-06,9.167283678834792e-07,0.0004156969953328371,0.000415697053540498,0.973540723323822,10.95302963256836,0.0001900898350868374
3,1.369689958089996e-12,0.002482140396115562,0.002482140396115562,8.547059544491975e-13,8.547060086593061e-13,9.638902702135965e-05,8.841147064231336e-05,1.3697840586246457e-06,1.041109157995379e-06,0.00027881472487933934,0.0002788146957755089,0.9752013683319092,5.607830047607422,0.00014689340605400503
4,1.4072927149484828e-12,0.001652332448789461,0.001652332448789461,1.0107777245402239e-12,1.0107780498008756e-12,0.0001004681980703026,9.283058170694858e-05,1.3610830364996218e-06,1.0848834790522233e-06,0.00017348802066408098,0.00017348802066408098,0.9745370149612427,1.730754017829895,9.290646994486451e-05
5,1.4647462419070416e-12,0.0012157652788637467,0.0012157652788637467,1.034060532513481e-12,1.0340599904123948e-12,0.00010013128485297784,9.291998867411166e-05,1.3384070598476683e-06,1.0836461115104612e-06,0.00011867438297485933,0.00011867437569890171,0.9741600155830383,2.1177191734313965,9.307911386713386e-05
6,1.5201610174937568e-12,0.0009419519310107543,0.0009419519310107543,1.0258853228722886e-12,1.0258846723509851e-12,9.903738828143105e-05,9.241823136107996e-05,1.317581791226985e-06,1.0792452940222574e-06,0.0001135693964897655,0.00011356938193785027,0.9706340432167053,3.605070114135742,0.00010527150880079716
7,1.5992205903447847e-12,0.0007583903540659272,0.0007583903540659272,1.0111063462187042e-12,1.0111059125378352e-12,0.00010023658978752792,9.208497067447752e-05,1.2918519587401533e-06,1.071582232725632e-06,8.061899279709905e-05,8.061897824518383e-05,0.9736955761909485,0.9180299639701843,8.256665023509413e-05
8,1.695562173994411e-12,0.0006318579309066173,0.0006318579309066173,9.773485189559783e-13,9.773483021155438e-13,9.964162745745853e-05,9.103021147893742e-05,1.2866875067629735e-06,1.0600524547044188e-06,6.938392471056432e-05,6.93839174346067e-05,0.9724162817001343,0.3003128170967102,7.300149445654824e-05
9,1.7622890064402018e-12,0.0005374286660380998,0.0005374286660380998,9.480584720056306e-13,9.480583635854134e-13,9.806721936911345e-05,9.00772211025469e-05,1.278877448385174e-06,1.048405351866677e-06,6.480769661720842e-05,6.480768206529319e-05,0.973520040512085,0.5367195010185242,7.268637273227796e-05
10,1.8288095022392093e-12,0.00046424690027913404,0.00046424690027913404,9.27095639841058e-13,9.27095639841058e-13,9.634753951104358e-05,8.935623191064224e-05,1.2686099353231839e-06,1.039225708154845e-06,5.0023045332636684e-05,5.0023045332636684e-05,0.9742868542671204,0.9446666240692139,7.846150401746854e-05
11,1.867838348473338e-12,0.00040475709285781524,0.00040475709285781524,8.704267233199114e-13,8.704265064794769e-13,9.740117093315348e-05,8.794432505965233e-05,1.2679158771788934e-06,1.0225228379567852e-06,4.5187272917246446e-05,4.518726564128883e-05,0.9735463261604309,1.2569135427474976,8.192371751647443e-05
12,1.8932010803628436e-12,0.0003600823850756436,0.0003600823850756436,8.736286975959129e-13,8.736284807554784e-13,9.575237345416099e-05,8.791439904598519e-05,1.2619040035133366e-06,1.0231013902739505e-06,4.4021999201504514e-05,4.4021999201504514e-05,0.9724129438400269,0.8762252926826477,7.668368925806135e-05
