epoch,train_constraint_penalty,train_loss,train_prediction_loss,val_complement_component_loss,val_complement_energy,val_constraint_violation_max,val_constraint_violation_mean,val_constraint_violation_relative_max,val_constraint_violation_relative_mean,val_loss,val_protected_component_loss,val_protected_energy,val_rollout_protected_relative_drift,val_rollout_violation_final
1,0.03399695932748017,0.01703034499142733,0.01703034499142733,9.250444800711471e-20,4.6277272066481226e-20,3.3474111660325434e-06,2.3734246497042477e-06,2.8469145263443352e-08,2.6947176934299932e-08,2.320997191418428e-05,2.320997191418428e-05,0.9746370911598206,3.345058119386124e-10,2.270277946081478e-06
2,0.0015939538721313588,0.0008346978115868529,0.0008346978115868529,9.250383408400383e-20,4.62770943518965e-20,3.3474984775239136e-06,2.373422148593818e-06,2.8469145263443352e-08,2.694715206530418e-08,2.320997191418428e-05,2.320997191418428e-05,0.9746370911598206,1.6006236613907987e-10,2.270234290335793e-06
3,0.0008760820017412296,0.00046987738438980867,0.00046987738438980867,9.25051911771963e-20,4.6278383590429344e-20,3.3474932479293784e-06,2.3734280603093794e-06,2.8469145263443352e-08,2.6947205356009363e-08,2.320997191418428e-05,2.320997191418428e-05,0.9746370911598206,1.9366078185534263e-10,2.2702402020513546e-06
4,0.0006218438515194006,0.00034124812775636055,0.00034124812775636055,9.250475173749588e-20,4.6278031392434155e-20,3.3474993870186154e-06,2.373426923441002e-06,2.8469145263443352e-08,2.6947196474225166e-08,2.320997191418428e-05,2.320997191418428e-05,0.9746370911598206,1.5982701273564714e-10,2.270234290335793e-06
5,0.0004388277709736547,0.0002482800217975336,0.0002482800217975336,9.250432522249253e-20,4.6277869833720766e-20,3.34749415742408e-06,2.373426923441002e-06,2.8469145263443352e-08,2.6947192921511487e-08,2.320997191418428e-05,2.320997191418428e-05,0.9746370911598206,1.5982701273564714e-10,2.270234290335793e-06
6,0.0003375405235962558,0.0001968546987707944,0.0001968546987707944,9.250522995128751e-20,4.6278454676263235e-20,3.3474968859081855e-06,2.3734285150567302e-06,2.8469145263443352e-08,2.6947207132366202e-08,2.320997191418428e-05,2.320997191418428e-05,0.9746370911598206,1.634526264338021e-10,2.2702340629621176e-06
7,0.00028158692755765976,0.00016846956331390884,0.00016846956331390884,9.250477112454149e-20,4.6278060473002565e-20,3.347495521666133e-06,2.3734266960673267e-06,2.8469145263443352e-08,2.6947194697868326e-08,2.320997191418428e-05,2.320997191418428e-05,0.9746370911598206,1.5982701273564714e-10,2.270234290335793e-06
8,0.00022785656442137956,0.0001411915745337264,0.0001411915745337264,9.250482928567831e-20,4.6278018467737084e-20,3.3474943847977556e-06,2.373426241319976e-06,2.8469145263443352e-08,2.694718581608413e-08,2.320997191418428e-05,2.320997191418428e-05,0.9746370911598206,1.8131381118724477e-10,2.2702336082147667e-06
9,0.00018979129664698259,0.0001217698668797389,0.0001217698668797389,9.250492622090634e-20,4.627808309122244e-20,3.347498250150238e-06,2.373426923441002e-06,2.8469145263443352e-08,2.6947196474225166e-08,2.320997191418428e-05,2.320997191418428e-05,0.9746370911598206,1.5982701273564714e-10,2.270234290335793e-06
10,0.00016228775553500806,0.00010770650419406024,0.00010770650419406024,9.250481636098124e-20,4.627811540296512e-20,3.34749415742408e-06,2.373426923441002e-06,2.8469129276231797e-08,2.6947194697868326e-08,2.320997191418428e-05,2.320997191418428e-05,0.9746370911598206,1.8100103360563224e-10,2.2702565729559865e-06
